transaction_id,timestamp,customer_id,amount,currency,merchant_category,location_lat,location_long,device_type,transaction_type,is_fraud,time_since_last,foreign_country,multiple_quick_trans
TXN_000000000000,2022-04-15 14:01:18,CUST_00000000,201.06,USD,travel,-56.70263550326568,-27.115444674617855,desktop,pos,0,5.72060077557191,0,0
TXN_000000000001,2022-04-29 14:48:09,CUST_00000000,189.11,USD,electronics,-57.20183820428314,-26.75954866554015,mobile,atm,0,331.77166666666665,0,0
TXN_000000000002,2022-05-11 08:32:24,CUST_00000000,240.03,USD,travel,-56.65247594102996,-27.057463174615474,mobile,pos,0,277.5366666666667,0,0
TXN_000000000003,2022-05-17 21:32:22,CUST_00000000,146.75,USD,electronics,-56.734197297988416,-27.460510166568675,desktop,pos,0,143.03694444444446,0,0
TXN_000000000004,2022-06-30 20:16:06,CUST_00000000,201.35,USD,travel,-56.470567048403076,-27.209961029349582,desktop,atm,0,1066.9058333333332,0,0
TXN_000000000005,2022-07-03 11:04:47,CUST_00000000,135.08,USD,electronics,-57.055986946953865,-27.554005575194576,mobile,atm,0,59.78194444444444,0,0
TXN_000000000006,2022-07-19 00:33:30,CUST_00000000,967.62,USD,dining,-41.7047945,133.86675,desktop,card_not_present,1,373.85,0,0
TXN_000000000007,2022-07-24 21:39:00,CUST_00000000,162.94,USD,travel,-57.13453860737736,-26.967483120013018,desktop,atm,0,132.99916666666667,0,0
TXN_000000000008,2022-07-25 00:30:10,CUST_00000000,278.98,USD,electronics,-57.05233076914563,-27.132933951696323,mobile,atm,0,12.39861111111111,0,0
TXN_000000000009,2022-08-11 18:27:30,CUST_00000000,210.83,USD,electronics,-57.03162143372883,-27.22203147845797,mobile,atm,0,407.99861111111113,0,0
TXN_000000000010,2022-08-13 16:29:51,CUST_00000000,186.22,USD,electronics,-56.300415903171995,-27.323224820061686,mobile,atm,0,56.14194444444445,0,0
TXN_000000000011,2022-08-24 13:40:57,CUST_00000000,147.13,USD,travel,-57.14923452088275,-27.01440276731571,mobile,atm,0,260.33666666666664,0,0
TXN_000000000012,2022-09-02 11:36:25,CUST_00000000,240.24,USD,travel,-56.34387796471466,-27.18938533276591,mobile,pos,0,225.17083333333332,0,0
TXN_000000000013,2022-09-18 03:48:10,CUST_00000000,254.51,USD,travel,-56.844819797372125,-27.02705336123527,desktop,atm,0,369.02722222222224,1,0
TXN_000000000014,2022-10-22 07:18:35,CUST_00000000,265.81,USD,electronics,-57.00059141558103,-27.26391209539695,desktop,pos,0,813.7616666666667,0,0
TXN_000000000015,2022-10-27 08:28:49,CUST_00000000,240.71,USD,electronics,-56.91157660516674,-27.006812951884175,desktop,atm,0,115.69527777777778,0,0
